Price,LT,LB,KT,KM,Kota/Kab,Provinsi,Type,harga_per_m2,ratio_bangunan_tanah
1600000000,346.0,100.0,5.0,2.0,Mataram Kota,Nusa Tenggara Barat,Rumah,4624277.456647399,0.28901734104046245
1890000000,345.0,345.0,5.0,3.0,Mataram Kota,Nusa Tenggara Barat,Rumah,5478260.869565218,1.0
6600000000,344.0,500.0,7.0,6.0,Bandung Kota,Jawa Barat,Rumah,19186046.51162791,1.4534883720930232
4000000000,343.0,343.0,5.0,4.0,Bandar Lampung Kota,Lampung,Rumah,11661807.580174927,1.0
3500000000,340.0,204.0,7.0,4.0,Makassar Kota,Sulawesi Selatan,Rumah,10294117.647058824,0.6
430000000,340.0,120.0,3.0,2.0,Pekanbaru Kota,Riau,Rumah,1264705.8823529412,0.35294117647058826
2500000000,340.0,200.0,4.0,3.0,Balikpapan Kota,Kalimantan Timur,Rumah,7352941.176470588,0.5882352941176471
1400000000,340.0,200.0,4.0,3.0,Pontianak Kota,Kalimantan Barat,Rumah,4117647.0588235296,0.5882352941176471
1600000000,337.0,200.0,5.0,3.0,Balikpapan Kota,Kalimantan Timur,Rumah,4747774.480712166,0.5934718100890207
900000000,336.0,192.0,2.0,2.0,Manado Kota,Sulawesi Utara,Rumah,2678571.4285714286,0.5714285714285714
600000000,333.0,120.0,3.0,2.0,Pekanbaru Kota,Riau,Rumah,1801801.801801802,0.36036036036036034
875000000,332.0,250.0,4.0,2.0,Padang Kota,Sumatra Barat,Rumah,2635542.1686746986,0.7530120481927711
2700000000,332.0,120.0,4.0,2.0,Balikpapan Kota,Kalimantan Timur,Rumah,8132530.120481928,0.3614457831325301
2200000000,331.0,225.0,5.0,3.0,Banjarmasin Kota,Kalimantan Selatan,Rumah,6646525.679758308,0.6797583081570997
9750000000,330.0,500.0,5.0,3.0,Surabaya Kota,Jawa Timur,Rumah,29545454.545454547,1.5151515151515151
8000000000,330.0,750.0,4.0,3.0,Surakarta Kota,Jawa Tengah,Rumah,24242424.242424242,2.272727272727273
5000000000,330.0,200.0,4.0,2.0,Balikpapan Kota,Kalimantan Timur,Rumah,15151515.151515152,0.6060606060606061
3250000000,330.0,408.0,6.0,3.0,Samarinda Kota,Kalimantan Timur,Rumah,9848484.848484848,1.2363636363636363
3900000000,329.0,354.0,6.0,4.0,Pontianak Kota,Kalimantan Barat,Rumah,11854103.343465045,1.0759878419452888
9100000000,328.0,180.0,4.0,3.0,Kab. Badung,Bali,Rumah,27743902.43902439,0.5487804878048781
2100000000,328.0,200.0,5.0,4.0,Surakarta Kota,Jawa Tengah,Rumah,6402439.024390244,0.6097560975609756
3950000000,328.0,500.0,4.0,4.0,Kab. Badung,Bali,Rumah,12042682.92682927,1.524390243902439
1900000000,325.0,200.0,4.0,3.0,Medan Kota,Sumatra Utara,Rumah,5846153.846153846,0.6153846153846154
12000000000,324.0,350.0,4.0,4.0,Jakarta Selatan,Jakarta D.K.I.,Rumah,37037037.03703704,1.0802469135802468
1000000000,324.0,90.0,3.0,2.0,Manado Kota,Sulawesi Utara,Rumah,3086419.75308642,0.2777777777777778
2500000000,322.0,150.0,4.0,3.0,Pontianak Kota,Kalimantan Barat,Rumah,7763975.155279503,0.4658385093167702
1900000000,322.0,130.0,3.0,2.0,Palembang Kota,Sumatra Selatan,Rumah,5900621.118012423,0.40372670807453415
2100000000,320.0,450.0,6.0,4.0,Medan Kota,Sumatra Utara,Rumah,6562500.0,1.40625
850000000,320.0,220.0,5.0,3.0,Medan Kota,Sumatra Utara,Rumah,2656250.0,0.6875
2700000000,320.0,290.0,6.0,3.0,Surabaya Kota,Jawa Timur,Rumah,8437500.0,0.90625
780000000,320.0,165.0,3.0,3.0,Banjarbaru Kota,Kalimantan Selatan,Rumah,2437500.0,0.515625
2500000000,318.0,200.0,5.0,4.0,Bukittinggi Kota,Sumatra Barat,Rumah,7861635.220125786,0.6289308176100629
500000000,317.0,120.0,5.0,4.0,Palembang Kota,Sumatra Selatan,Rumah,1577287.0662460567,0.3785488958990536
890000000,315.0,120.0,5.0,4.0,Palembang Kota,Sumatra Selatan,Rumah,2825396.8253968256,0.38095238095238093
1200000000,315.0,250.0,4.0,4.0,Manado Kota,Sulawesi Utara,Rumah,3809523.8095238097,0.7936507936507936
2950000000,312.0,120.0,4.0,4.0,Padang Kota,Sumatra Barat,Rumah,9455128.205128206,0.38461538461538464
3500000000,312.0,312.0,5.0,3.0,Makassar Kota,Sulawesi Selatan,Rumah,11217948.717948718,1.0
1250000000,311.0,184.0,8.0,4.0,Sleman Kab.,Yogyakarta D.I.,Rumah,4019292.604501608,0.5916398713826366
1300000000,309.0,236.0,5.0,3.0,Malang Kota,Jawa Timur,Rumah,4207119.741100323,0.7637540453074434
1000000000,309.0,300.0,4.0,1.0,Manado Kota,Sulawesi Utara,Rumah,3236245.9546925565,0.970873786407767
7000000000,308.0,450.0,5.0,5.0,Surabaya Kota,Jawa Timur,Rumah,22727272.727272727,1.4610389610389611
900000000,308.0,121.0,3.0,2.0,Barito Kuala Kab.,Kalimantan Selatan,Rumah,2922077.922077922,0.39285714285714285
800000000,307.0,120.0,3.0,2.0,Samarinda Kota,Kalimantan Timur,Rumah,2605863.1921824105,0.39087947882736157
2800000000,305.0,100.0,2.0,1.0,Manado Kota,Sulawesi Utara,Rumah,9180327.868852459,0.32786885245901637
4800000000,304.0,330.0,5.0,4.0,Batam Kota,Kepulauan Riau,Rumah,15789473.684210526,1.0855263157894737
9000000000,303.0,300.0,5.0,4.0,Kab. Badung,Bali,Rumah,29702970.297029704,0.9900990099009901
9000000000,303.0,500.0,5.0,4.0,Kab. Badung,Bali,Rumah,29702970.297029704,1.6501650165016502
1250000000,303.0,300.0,5.0,3.0,Pekanbaru Kota,Riau,Rumah,4125412.5412541255,0.9900990099009901
8000000000,300.0,300.0,4.0,4.0,Tangerang Kota,Banten,Rumah,26666666.666666668,1.0
4900000000,300.0,297.0,5.0,5.0,Manado Kota,Sulawesi Utara,Rumah,16333333.333333334,0.99
3405000000,300.0,190.0,5.0,5.0,Palembang Kota,Sumatra Selatan,Rumah,11350000.0,0.6333333333333333
8800000000,300.0,186.0,3.0,3.0,Tangerang Kota,Banten,Rumah,29333333.333333332,0.62
4500000000,300.0,380.0,5.0,5.0,Makassar Kota,Sulawesi Selatan,Rumah,15000000.0,1.2666666666666666
8000000000,300.0,275.0,3.0,4.0,Kab. Badung,Bali,Rumah,26666666.666666668,0.9166666666666666
13500000000,300.0,595.0,4.0,4.0,Kab. Badung,Bali,Rumah,45000000.0,1.9833333333333334
3500000000,300.0,135.0,3.0,2.0,Tangerang Selatan Kota,Banten,Rumah,11666666.666666666,0.45
3800000000,300.0,350.0,6.0,3.0,Surabaya Kota,Jawa Timur,Rumah,12666666.666666666,1.1666666666666667
1600000000,300.0,150.0,4.0,3.0,Manado Kota,Sulawesi Utara,Rumah,5333333.333333333,0.5
4500000000,300.0,350.0,5.0,5.0,Bekasi Kota,Jawa Barat,Rumah,15000000.0,1.1666666666666667
1950000000,300.0,220.0,3.0,2.0,Musi Banyuasin Kab.,Sumatra Selatan,Rumah,6500000.0,0.7333333333333333
3100000000,300.0,157.0,5.0,4.0,Aceh Besar Kab.,Aceh D.I.,Rumah,10333333.333333334,0.5233333333333333
2200000000,300.0,250.0,2.0,2.0,Palembang Kota,Sumatra Selatan,Rumah,7333333.333333333,0.8333333333333334
1900000000,300.0,270.0,5.0,3.0,Palembang Kota,Sumatra Selatan,Rumah,6333333.333333333,0.9
9800000000,300.0,325.0,4.0,4.0,Tangerang Kab.,Banten,Rumah,32666666.666666668,1.0833333333333333
8500000000,300.0,500.0,5.0,3.0,Tangerang Kota,Banten,Rumah,28333333.333333332,1.6666666666666667
3000000000,300.0,276.0,5.0,5.0,Jakarta Timur,Jakarta D.K.I.,Rumah,10000000.0,0.92
6800000000,300.0,480.0,5.0,4.0,Medan Kota,Sumatra Utara,Rumah,22666666.666666668,1.6
9250000000,300.0,525.0,5.0,6.0,Surabaya Kota,Jawa Timur,Rumah,30833333.333333332,1.75
1100000000,300.0,200.0,3.0,3.0,Padang Kota,Sumatra Barat,Rumah,3666666.6666666665,0.6666666666666666
5200000000,300.0,275.0,4.0,4.0,Manado Kota,Sulawesi Utara,Rumah,17333333.333333332,0.9166666666666666
850000000,300.0,300.0,4.0,2.0,Palembang Kota,Sumatra Selatan,Rumah,2833333.3333333335,1.0
7150000000,300.0,123.0,3.0,3.0,Denpasar Kota,Bali,Rumah,23833333.333333332,0.41
7150000000,300.0,119.0,3.0,3.0,Denpasar Kota,Bali,Rumah,23833333.333333332,0.39666666666666667
4500000000,300.0,250.0,3.0,3.0,Surabaya Kota,Jawa Timur,Rumah,15000000.0,0.8333333333333334
1100000000,300.0,250.0,4.0,4.0,Padang Kota,Sumatra Barat,Rumah,3666666.6666666665,0.8333333333333334
7900000000,300.0,280.0,4.0,3.0,Medan Kota,Sumatra Utara,Rumah,26333333.333333332,0.9333333333333333
3100000000,300.0,210.0,4.0,4.0,Semarang Kota,Jawa Tengah,Rumah,10333333.333333334,0.7
5000000000,300.0,297.0,4.0,3.0,Manado Kota,Sulawesi Utara,Rumah,16666666.666666666,0.99
999000000,300.0,200.0,4.0,2.0,Manado Kota,Sulawesi Utara,Rumah,3330000.0,0.6666666666666666
7800000000,300.0,300.0,5.0,4.0,Surabaya Kota,Jawa Timur,Rumah,26000000.0,1.0
2500000000,300.0,290.0,5.0,4.0,Manado Kota,Sulawesi Utara,Rumah,8333333.333333333,0.9666666666666667
5380000000,300.0,315.0,4.0,4.0,Pekanbaru Kota,Riau,Rumah,17933333.333333332,1.05
700000000,300.0,96.0,4.0,3.0,Pekanbaru Kota,Riau,Rumah,2333333.3333333335,0.32
460000000,300.0,81.0,3.0,2.0,Pekanbaru Kota,Riau,Rumah,1533333.3333333333,0.27
1800000000,300.0,100.0,2.0,2.0,Lombok Utara Kab.,Nusa Tenggara Barat,Rumah,6000000.0,0.3333333333333333
1800000000,300.0,200.0,3.0,3.0,Mataram Kota,Nusa Tenggara Barat,Rumah,6000000.0,0.6666666666666666
875000000,300.0,180.0,6.0,4.0,Lampung Selatan Kab.,Lampung,Rumah,2916666.6666666665,0.6
1000000000,300.0,260.0,4.0,3.0,Batam Kota,Kepulauan Riau,Rumah,3333333.3333333335,0.8666666666666667
1500000000,300.0,330.0,4.0,2.0,Batam Kota,Kepulauan Riau,Rumah,5000000.0,1.1
3250000000,300.0,300.0,1.0,1.0,Balikpapan Kota,Kalimantan Timur,Rumah,10833333.333333334,1.0
1500000000,300.0,200.0,3.0,4.0,Samarinda Kota,Kalimantan Timur,Rumah,5000000.0,0.6666666666666666
600000000,300.0,180.0,4.0,3.0,Banjarbaru Kota,Kalimantan Selatan,Rumah,2000000.0,0.6
850000000,300.0,200.0,3.0,3.0,Banjarbaru Kota,Kalimantan Selatan,Rumah,2833333.3333333335,0.6666666666666666
790000000,300.0,259.0,3.0,2.0,Pontianak Kota,Kalimantan Barat,Rumah,2633333.3333333335,0.8633333333333333
5500000000,300.0,288.0,2.0,2.0,Surabaya Kota,Jawa Timur,Rumah,18333333.333333332,0.96
850000000,300.0,300.0,5.0,2.0,Manado Kota,Sulawesi Utara,Rumah,2833333.3333333335,1.0
3800000000,299.0,200.0,5.0,4.0,Semarang Kota,Jawa Tengah,Rumah,12709030.100334449,0.6688963210702341
650000000,299.0,180.0,4.0,2.0,Pekanbaru Kota,Riau,Rumah,2173913.0434782607,0.6020066889632107
876000000,299.0,180.0,6.0,4.0,Bandar Lampung Kota,Lampung,Rumah,2929765.8862876254,0.6020066889632107
899000000,298.0,170.0,4.0,2.0,Pontianak Kota,Kalimantan Barat,Rumah,3016778.523489933,0.5704697986577181
1400000000,298.0,240.0,4.0,2.0,Manado Kota,Sulawesi Utara,Rumah,4697986.577181208,0.8053691275167785
3000000000,297.0,266.0,4.0,4.0,Banda Aceh Kota,Aceh D.I.,Rumah,10101010.1010101,0.8956228956228957
575000000,297.0,120.0,2.0,2.0,Palembang Kota,Sumatra Selatan,Rumah,1936026.936026936,0.40404040404040403
4600000000,297.0,450.0,5.0,5.0,Jakarta Timur,Jakarta D.K.I.,Rumah,15488215.488215487,1.5151515151515151
1500000000,296.0,150.0,4.0,2.0,Palembang Kota,Sumatra Selatan,Rumah,5067567.567567567,0.5067567567567568
655000000,296.0,210.0,5.0,4.0,Bandar Lampung Kota,Lampung,Rumah,2212837.8378378376,0.7094594594594594
2100000000,295.0,275.0,4.0,5.0,Padang Kota,Sumatra Barat,Rumah,7118644.06779661,0.9322033898305084
1519000000,295.0,274.0,3.0,2.0,Pekanbaru Kota,Riau,Rumah,5149152.542372881,0.9288135593220339
2500000000,295.0,120.0,3.0,2.0,Balikpapan Kota,Kalimantan Timur,Rumah,8474576.271186441,0.4067796610169492
2500000000,294.0,119.0,5.0,3.0,Metro Kota,Lampung,Rumah,8503401.360544218,0.40476190476190477
250000000,291.0,180.0,3.0,3.0,Manado Kota,Sulawesi Utara,Rumah,859106.529209622,0.6185567010309279
3999999999,291.0,200.0,4.0,3.0,Bandar Lampung Kota,Lampung,Rumah,13745704.463917525,0.6872852233676976
290000000,290.0,160.0,2.0,1.0,Ketapang Kab.,Kalimantan Barat,Rumah,1000000.0,0.5517241379310345
1500000000,290.0,150.0,4.0,2.0,Banda Aceh Kota,Aceh D.I.,Rumah,5172413.793103448,0.5172413793103449
2100000000,290.0,250.0,5.0,3.0,Padang Kota,Sumatra Barat,Rumah,7241379.310344827,0.8620689655172413
4500000000,290.0,400.0,5.0,5.0,Bantul Kab.,Yogyakarta D.I.,Rumah,15517241.379310345,1.3793103448275863
1000000000,290.0,200.0,5.0,5.0,Bandar Lampung Kota,Lampung,Rumah,3448275.8620689656,0.6896551724137931
1000000000,290.0,140.0,4.0,5.0,Bandar Lampung Kota,Lampung,Rumah,3448275.8620689656,0.4827586206896552
3800000000,290.0,240.0,4.0,5.0,Batam Kota,Kepulauan Riau,Rumah,13103448.27586207,0.8275862068965517
4500000000,289.0,255.0,6.0,5.0,Makassar Kota,Sulawesi Selatan,Rumah,15570934.256055363,0.8823529411764706
999000000,289.0,290.0,6.0,4.0,Manado Kota,Sulawesi Utara,Rumah,3456747.4048442906,1.0034602076124568
950000000,289.0,114.0,3.0,2.0,Medan Kota,Sumatra Utara,Rumah,3287197.23183391,0.3944636678200692
770000000,288.0,126.0,2.0,3.0,Padang Kota,Sumatra Barat,Rumah,2673611.111111111,0.4375
1300000000,288.0,150.0,4.0,2.0,Padang Kota,Sumatra Barat,Rumah,4513888.888888889,0.5208333333333334
2000000000,288.0,400.0,5.0,4.0,Pekanbaru Kota,Riau,Rumah,6944444.444444444,1.3888888888888888
4950000000,288.0,400.0,4.0,4.0,Batam Kota,Kepulauan Riau,Rumah,17187500.0,1.3888888888888888
590000000,287.0,125.0,3.0,2.0,Pontianak Kota,Kalimantan Barat,Rumah,2055749.1289198606,0.4355400696864111
1300000000,286.0,100.0,3.0,2.0,Pekanbaru Kota,Riau,Rumah,4545454.545454546,0.34965034965034963
2125000000,285.0,150.0,4.0,3.0,Pontianak Kota,Kalimantan Barat,Rumah,7456140.350877193,0.5263157894736842
3500000000,285.0,400.0,4.0,4.0,Samarinda Kota,Kalimantan Timur,Rumah,12280701.754385965,1.4035087719298245
900000000,283.0,200.0,3.0,2.0,Bukittinggi Kota,Sumatra Barat,Rumah,3180212.0141342757,0.7067137809187279
4900000000,283.0,300.0,4.0,3.0,Manado Kota,Sulawesi Utara,Rumah,17314487.632508833,1.0600706713780919
4500000000,282.0,300.0,5.0,4.0,Aceh Besar Kab.,Aceh D.I.,Rumah,15957446.808510639,1.0638297872340425
2125000000,281.0,150.0,4.0,3.0,Pontianak Kota,Kalimantan Barat,Rumah,7562277.580071175,0.5338078291814946
1000000000,281.0,100.0,6.0,3.0,Mataram Kota,Nusa Tenggara Barat,Rumah,3558718.8612099644,0.35587188612099646
