LT,KM,KT,LB,Price,Kota/Kab,Provinsi,Type
369,5,6,369,1.400.000.000,Bandar Lampung Kota,Lampung,Rumah
366,3,3,276,1.700.000.000,Palembang Kota,Sumatra Selatan,Rumah
365,1,2,275,650.000.000,Bandar Lampung Kota,Lampung,Rumah
364,6,6,364,6.000.000.000,Manado Kota,Sulawesi Utara,Rumah
362,3,3,129,1.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
362,5,4,400,6.500.000.000,Karanganyar Kab.,Jawa Tengah,Rumah
361,8,7,672,9.600.000.000,Medan Kota,Sumatra Utara,Rumah
361,3,3,400,3.000.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
360,5,6,250,2.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
360,4,5,190,1.200.000.000,Pontianak Kota,Kalimantan Barat,Rumah
360,3,3,200,3.200.000.000,Semarang Kota,Jawa Tengah,Rumah
360,5,9,360,7.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
360,5,4,300,5.000.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
360,3,5,346,3.700.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
360,2,2,250,700.000.000,Bandar Lampung Kota,Lampung,Rumah
359,4,5,356,1.900.000.000,Manado Kota,Sulawesi Utara,Rumah
358,1,2,300,900.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
357,4,4,450,2.000.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
355,1,3,200,1.200.000.000,Pontianak Kota,Kalimantan Barat,Rumah
353,4,4,300,8.500.000.000,Kab. Badung,Bali,Rumah
350,4,3,215,6.500.000.000,Tangerang Selatan Kota,Banten,Rumah
350,4,3,179,6.000.000.000,Denpasar Kota,Bali,Rumah
350,5,5,250,4.500.000.000,Kab. Badung,Bali,Rumah
350,5,5,471,6.500.000.000,Tangerang Selatan Kota,Banten,Rumah
350,3,4,350,7.200.000.000,Tangerang Selatan Kota,Banten,Rumah
350,2,1,96,600.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
350,4,7,264,3.250.000.000,Batam Kota,Kepulauan Riau,Rumah
350,4,4,250,2.200.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
350,3,3,350,2.300.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
350,6,5,650,11.800.000.000,Surabaya Kota,Jawa Timur,Rumah
349,4,5,300,5.900.000.000,Jakarta Timur,Jakarta D.K.I.,Rumah
348,3,3,175,1.500.000.000,Bogor Kab.,Jawa Barat,Rumah
347,1,2,280,650.000.000,Bandar Lampung Kota,Lampung,Rumah
347,4,6,453,10.600.000.000,Samarinda Kota,Kalimantan Timur,Rumah
346,2,5,100,1.600.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
345,3,5,345,1.890.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
344,6,7,500,6.600.000.000,Bandung Kota,Jawa Barat,Rumah
343,4,5,343,4.000.000.000,Bandar Lampung Kota,Lampung,Rumah
340,1,2,70,45.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
340,4,7,204,3.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
340,2,3,120,430.000.000,Pekanbaru Kota,Riau,Rumah
340,3,4,200,2.500.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
340,3,4,200,1.400.000.000,Pontianak Kota,Kalimantan Barat,Rumah
337,3,5,200,1.600.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
336,2,2,192,900.000.000,Manado Kota,Sulawesi Utara,Rumah
334,8,>10,400,5.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
333,2,3,120,600.000.000,Pekanbaru Kota,Riau,Rumah
332,2,4,250,875.000.000,Padang Kota,Sumatra Barat,Rumah
332,2,4,120,2.700.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
331,3,5,225,2.200.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
330,3,5,500,9.750.000.000,Surabaya Kota,Jawa Timur,Rumah
330,3,4,750,8.000.000.000,Surakarta Kota,Jawa Tengah,Rumah
330,2,4,200,5.000.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
330,3,6,408,3.250.000.000,Samarinda Kota,Kalimantan Timur,Rumah
329,4,6,354,3.900.000.000,Pontianak Kota,Kalimantan Barat,Rumah
328,3,4,180,9.100.000.000,Kab. Badung,Bali,Rumah
328,3,4,180,9.100.000.000,Kab. Badung,Bali,Rumah
328,3,4,180,9.100.000.000,Kab. Badung,Bali,Rumah
328,4,5,200,2.100.000.000,Surakarta Kota,Jawa Tengah,Rumah
328,4,4,500,3.950.000.000,Kab. Badung,Bali,Rumah
325,3,4,200,1.900.000.000,Medan Kota,Sumatra Utara,Rumah
324,4,4,350,12.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
324,2,3,90,1.000.000.000,Manado Kota,Sulawesi Utara,Rumah
322,3,4,150,2.500.000.000,Pontianak Kota,Kalimantan Barat,Rumah
322,2,3,130,1.900.000.000,Palembang Kota,Sumatra Selatan,Rumah
320,4,6,450,2.100.000.000,Medan Kota,Sumatra Utara,Rumah
320,3,5,220,850.000.000,Medan Kota,Sumatra Utara,Rumah
320,3,6,290,2.700.000.000,Surabaya Kota,Jawa Timur,Rumah
320,3,3,165,780.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
318,4,5,200,2.500.000.000,Bukittinggi Kota,Sumatra Barat,Rumah
317,4,5,120,500.000.000,Palembang Kota,Sumatra Selatan,Rumah
315,4,5,120,890.000.000,Palembang Kota,Sumatra Selatan,Rumah
315,4,4,250,1.200.000.000,Manado Kota,Sulawesi Utara,Rumah
314,7,>10,300,1.800.000.000,Manado Kota,Sulawesi Utara,Rumah
312,4,4,120,2.950.000.000,Padang Kota,Sumatra Barat,Rumah
312,3,5,312,3.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
311,4,8,184,1.250.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
309,3,5,236,1.300.000.000,Malang Kota,Jawa Timur,Rumah
309,1,4,300,1.000.000.000,Manado Kota,Sulawesi Utara,Rumah
308,5,5,450,7.000.000.000,Surabaya Kota,Jawa Timur,Rumah
308,6,5,424,27.500.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
308,2,3,121,900.000.000,Barito Kuala Kab.,Kalimantan Selatan,Rumah
307,2,3,120,800.000.000,Samarinda Kota,Kalimantan Timur,Rumah
305,1,2,100,2.800.000.000,Manado Kota,Sulawesi Utara,Rumah
304,4,5,330,4.800.000.000,Batam Kota,Kepulauan Riau,Rumah
303,4,5,300,9.000.000.000,Kab. Badung,Bali,Rumah
303,4,5,500,9.000.000.000,Kab. Badung,Bali,Rumah
303,3,5,300,1.250.000.000,Pekanbaru Kota,Riau,Rumah
300,4,4,300,8.000.000.000,Tangerang Kota,Banten,Rumah
300,5,5,297,4.900.000.000,Manado Kota,Sulawesi Utara,Rumah
300,5,5,190,3.405.000.000,Palembang Kota,Sumatra Selatan,Rumah
300,3,3,186,8.800.000.000,Tangerang Kota,Banten,Rumah
300,5,5,380,4.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
300,4,3,275,8.000.000.000,Kab. Badung,Bali,Rumah
300,4,3,275,8.000.000.000,Kab. Badung,Bali,Rumah
300,4,4,595,13.500.000.000,Kab. Badung,Bali,Rumah
300,2,3,135,3.500.000.000,Tangerang Selatan Kota,Banten,Rumah
300,3,6,350,3.800.000.000,Surabaya Kota,Jawa Timur,Rumah
300,3,4,150,1.600.000.000,Manado Kota,Sulawesi Utara,Rumah
300,5,5,350,4.500.000.000,Bekasi Kota,Jawa Barat,Rumah
300,2,3,220,1.950.000.000,Musi Banyuasin Kab.,Sumatra Selatan,Rumah
300,4,5,157,3.100.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
300,2,2,250,2.200.000.000,Palembang Kota,Sumatra Selatan,Rumah
300,3,5,270,1.900.000.000,Palembang Kota,Sumatra Selatan,Rumah
300,4,4,325,9.800.000.000,Tangerang Kab.,Banten,Rumah
300,3,5,500,8.500.000.000,Tangerang Kota,Banten,Rumah
300,5,5,276,3.000.000.000,Jakarta Timur,Jakarta D.K.I.,Rumah
300,4,5,480,6.800.000.000,Medan Kota,Sumatra Utara,Rumah
300,6,5,525,9.250.000.000,Surabaya Kota,Jawa Timur,Rumah
300,3,3,200,1.100.000.000,Padang Kota,Sumatra Barat,Rumah
300,4,4,275,5.200.000.000,Manado Kota,Sulawesi Utara,Rumah
300,2,4,300,850.000.000,Palembang Kota,Sumatra Selatan,Rumah
300,3,3,123,7.150.000.000,Denpasar Kota,Bali,Rumah
300,3,3,119,7.150.000.000,Denpasar Kota,Bali,Rumah
300,3,3,250,4.500.000.000,Surabaya Kota,Jawa Timur,Rumah
300,4,4,250,1.100.000.000,Padang Kota,Sumatra Barat,Rumah
300,3,4,280,7.900.000.000,Medan Kota,Sumatra Utara,Rumah
300,4,4,210,3.100.000.000,Semarang Kota,Jawa Tengah,Rumah
300,3,4,297,5.000.000.000,Manado Kota,Sulawesi Utara,Rumah
300,2,4,200,999.000.000,Manado Kota,Sulawesi Utara,Rumah
300,4,5,300,7.800.000.000,Surabaya Kota,Jawa Timur,Rumah
300,9,9,500,5.500.000.000,Kab. Badung,Bali,Rumah
300,4,5,290,2.500.000.000,Manado Kota,Sulawesi Utara,Rumah
300,4,4,315,5.380.000.000,Pekanbaru Kota,Riau,Rumah
300,3,4,96,700.000.000,Pekanbaru Kota,Riau,Rumah
300,2,3,81,460.000.000,Pekanbaru Kota,Riau,Rumah
300,2,2,100,1.800.000.000,Lombok Utara Kab.,Nusa Tenggara Barat,Rumah
300,3,3,200,1.800.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
300,4,6,180,875.000.000,Lampung Selatan Kab.,Lampung,Rumah
300,3,4,260,1.000.000.000,Batam Kota,Kepulauan Riau,Rumah
300,2,4,330,1.500.000.000,Batam Kota,Kepulauan Riau,Rumah
300,1,1,300,3.250.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
300,4,5,5,2.300.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
300,4,3,200,1.500.000.000,Samarinda Kota,Kalimantan Timur,Rumah
300,3,4,180,600.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
300,3,3,200,850.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
300,2,3,259,790.000.000,Pontianak Kota,Kalimantan Barat,Rumah
300,2,2,288,5.500.000.000,Surabaya Kota,Jawa Timur,Rumah
300,2,5,300,850.000.000,Manado Kota,Sulawesi Utara,Rumah
299,4,5,200,3.800.000.000,Semarang Kota,Jawa Tengah,Rumah
299,2,4,180,650.000.000,Pekanbaru Kota,Riau,Rumah
299,4,6,180,876.000.000,Bandar Lampung Kota,Lampung,Rumah
298,2,4,170,899.000.000,Pontianak Kota,Kalimantan Barat,Rumah
298,2,4,240,1.400.000.000,Manado Kota,Sulawesi Utara,Rumah
297,4,4,266,3.000.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
297,2,2,120,575.000.000,Palembang Kota,Sumatra Selatan,Rumah
297,5,5,450,4.600.000.000,Jakarta Timur,Jakarta D.K.I.,Rumah
296,2,4,150,1.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
296,4,5,210,655.000.000,Bandar Lampung Kota,Lampung,Rumah
295,5,4,275,2.100.000.000,Padang Kota,Sumatra Barat,Rumah
295,2,3,274,1.519.000.000,Pekanbaru Kota,Riau,Rumah
295,2,3,120,2.500.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
294,3,5,119,2.500.000.000,Metro Kota,Lampung,Rumah
291,3,3,180,250.000.000,Manado Kota,Sulawesi Utara,Rumah
291,3,4,200,3.999.999.999,Bandar Lampung Kota,Lampung,Rumah
290,1,2,160,290.000.000,Ketapang Kab.,Kalimantan Barat,Rumah
290,2,4,150,1.500.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
290,3,5,250,2.100.000.000,Padang Kota,Sumatra Barat,Rumah
290,5,5,400,4.500.000.000,Bantul Kab.,Yogyakarta D.I.,Rumah
290,5,5,200,1.000.000.000,Bandar Lampung Kota,Lampung,Rumah
290,5,4,140,1.000.000.000,Bandar Lampung Kota,Lampung,Rumah
290,5,4,240,3.800.000.000,Batam Kota,Kepulauan Riau,Rumah
289,5,6,255,4.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
289,4,6,290,999.000.000,Manado Kota,Sulawesi Utara,Rumah
289,2,3,114,950.000.000,Medan Kota,Sumatra Utara,Rumah
288,3,2,126,770.000.000,Padang Kota,Sumatra Barat,Rumah
288,2,4,150,1.300.000.000,Padang Kota,Sumatra Barat,Rumah
288,4,5,400,2.000.000.000,Pekanbaru Kota,Riau,Rumah
288,4,4,400,4.950.000.000,Batam Kota,Kepulauan Riau,Rumah
287,2,3,125,590.000.000,Pontianak Kota,Kalimantan Barat,Rumah
286,2,3,100,1.300.000.000,Pekanbaru Kota,Riau,Rumah
285,3,4,150,2.125.000.000,Pontianak Kota,Kalimantan Barat,Rumah
285,4,4,400,3.500.000.000,Samarinda Kota,Kalimantan Timur,Rumah
283,2,3,200,900.000.000,Bukittinggi Kota,Sumatra Barat,Rumah
283,3,4,300,4.900.000.000,Manado Kota,Sulawesi Utara,Rumah
282,4,5,300,4.500.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
281,3,4,150,2.125.000.000,Pontianak Kota,Kalimantan Barat,Rumah
281,3,6,100,1.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
280,3,4,280,2.050.000.000,Padang Pariaman Kab.,Sumatra Barat,Rumah
280,3,4,220,3.800.000.000,Batam Kota,Kepulauan Riau,Rumah
280,6,5,350,4.200.000.000,Batam Kota,Kepulauan Riau,Rumah
280,4,5,300,3.250.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
280,4,4,225,3.800.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
280,4,4,225,3.600.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
280,2,5,224,1.800.000.000,Pontianak Kota,Kalimantan Barat,Rumah
279,3,4,200,900.000.000,Padang Kota,Sumatra Barat,Rumah
278,5,5,320,5.700.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
278,2,6,320,5.800.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
277,1,3,68,700.000.000,Pontianak Kota,Kalimantan Barat,Rumah
276,3,4,350,3.700.000.000,Semarang Kota,Jawa Tengah,Rumah
275,4,4,85,880.000.000,Pekanbaru Kota,Riau,Rumah
275,3,3,150,1.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
275,3,3,350,5.250.000.000,Batam Kota,Kepulauan Riau,Rumah
275,4,4,350,1.100.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
273,2,3,155,2.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
273,1,3,56,1.500.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
272,4,6,200,6.500.000,Payakumbuh Kota,Sumatra Barat,Rumah
271,3,4,200,2.600.000.000,Palembang Kota,Sumatra Selatan,Rumah
271,4,6,210,6.500.000.000,Tangerang Selatan Kota,Banten,Rumah
271,3,4,250,3.800.000.000,Bandar Lampung Kota,Lampung,Rumah
271,1,2,90,1.350.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
270,3,4,150,1.600.000.000,Palembang Kota,Sumatra Selatan,Rumah
270,3,3,100,980.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
270,2,3,200,1.600.000.000,Kendal Kab.,Jawa Tengah,Rumah
270,1,1,130,5.250.000.000,Surabaya Kota,Jawa Timur,Rumah
270,5,5,144,1.875.000.000,Padang Kota,Sumatra Barat,Rumah
270,3,6,300,1.100.000.000,Semarang Kota,Jawa Tengah,Rumah
270,3,4,250,1.400.000.000,Bandar Lampung Kota,Lampung,Rumah
270,2,4,190,700.000.000,Bandar Lampung Kota,Lampung,Rumah
270,4,4,600,4.900.000.000,Batam Kota,Kepulauan Riau,Rumah
270,3,4,150,650.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
270,2,4,180,950.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
268,5,5,573,3.500.000.000,Tangerang Selatan Kota,Banten,Rumah
267,3,3,131,2.000.000.000,Malang Kota,Jawa Timur,Rumah
267,3,3,200,5.500.000.000,Kab. Badung,Bali,Rumah
265,2,4,150,1.500.000.000,Medan Kota,Sumatra Utara,Rumah
265,3,4,320,4.770.000.000,Depok Kota,Jawa Barat,Rumah
265,4,5,220,900.000.000,Padang Kota,Sumatra Barat,Rumah
265,4,4,300,3.300.000.000,Bandung Kota,Jawa Barat,Rumah
264,4,4,264,4.100.000.000,Medan Kota,Sumatra Utara,Rumah
264,2,4,120,1.100.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
264,4,4,400,4.900.000.000,Batam Kota,Kepulauan Riau,Rumah
264,4,3,220,3.300.000.000,Kayong Utara Kab.,Kalimantan Barat,Rumah
263,3,3,170,615.000.000,Palembang Kota,Sumatra Selatan,Rumah
262,2,3,262,1.200.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
262,2,2,257,5.700.000.000,Kab. Badung,Bali,Rumah
261,4,4,280,1.990.000.000,Palembang Kota,Sumatra Selatan,Rumah
260,4,5,200,950.000.000,Medan Kota,Sumatra Utara,Rumah
260,3,4,170,1.300.000.000,Bantul Kab.,Yogyakarta D.I.,Rumah
260,3,3,600,13.500.000.000,Jakarta Utara,Jakarta D.K.I.,Rumah
260,1,2,120,700.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
258,2,3,225,700.000.000,Padang Kota,Sumatra Barat,Rumah
258,3,4,200,1.350.000.000,Bandar Lampung Kota,Lampung,Rumah
257,3,5,164,5.000.000.000,Bukittinggi Kota,Sumatra Barat,Rumah
256,1,3,180,4.200.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
256,3,2,290,7.900.000.000,Simeulue Kab.,Aceh D.I.,Rumah
256,2,3,100,425.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
255,4,4,204,980.000.000,Pidie Kab.,Aceh D.I.,Rumah
255,4,4,225,3.000.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
255,4,8,314,1.300.000.000,Pontianak Kota,Kalimantan Barat,Rumah
253,2,4,150,1.600.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
253,5,5,520,16.630.000.000,Kab. Badung,Bali,Rumah
252,6,5,275,4.300.000.000,Manado Kota,Sulawesi Utara,Rumah
252,3,5,192,2.900.000.000,Makassar Kota,Sulawesi Selatan,Rumah
252,6,5,400,7.050.000.000,Tangerang Selatan Kota,Banten,Rumah
252,2,3,102,2.000.000.000,Magelang Kab.,Jawa Tengah,Rumah
252,4,5,240,8.000.000.000,Medan Kota,Sumatra Utara,Rumah
252,2,3,200,2.250.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
250,4,4,250,4.000.000.000,Surabaya Kota,Jawa Timur,Rumah
250,5,5,350,7.700.000.000,Kab. Badung,Bali,Rumah
250,4,4,248,3.500.000.000,Depok Kota,Jawa Barat,Rumah
250,5,6,495,5.600.000.000,Jakarta Barat,Jakarta D.K.I.,Rumah
250,4,3,238,9.000.000.000,Kab. Badung,Bali,Rumah
250,3,3,236,7.000.000.000,Tabanan Kab.,Bali,Rumah
250,3,3,230,6.800.000.000,Kab. Badung,Bali,Rumah
250,4,3,250,6.800.000.000,Kab. Badung,Bali,Rumah
250,3,5,150,3.700.000.000,Tangerang Selatan Kota,Banten,Rumah
250,3,5,310,2.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
250,3,3,162,3.000.000.000,Surabaya Kota,Jawa Timur,Rumah
250,3,3,250,6.250.000.000,Kab. Badung,Bali,Rumah
250,3,4,200,600.000.000,Manado Kota,Sulawesi Utara,Rumah
250,4,5,750,9.200.000.000,Makassar Kota,Sulawesi Selatan,Rumah
250,5,5,350,2.200.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
250,2,3,150,375.000.000,Bandar Lampung Kota,Lampung,Rumah
250,3,3,200,6.500.000.000,Kab. Mahakam Ulu,Kalimantan Timur,Rumah
250,4,4,250,865.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
250,3,3,322,1.100.000.000,Pontianak Kota,Kalimantan Barat,Rumah
250,3,3,300,7.500.000.000,Surabaya Kota,Jawa Timur,Rumah
248,2,3,70,1.000.000.000,Manado Kota,Sulawesi Utara,Rumah
248,1,2,200,1.700.000.000,Manado Kota,Sulawesi Utara,Rumah
248,3,5,200,950.000.000,Bandar Lampung Kota,Lampung,Rumah
248,1,2,150,480.000.000,Bandar Lampung Kota,Lampung,Rumah
248,5,5,311,3.700.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
247,4,4,182,3.200.000.000,Batam Kota,Kepulauan Riau,Rumah
247,1,2,102,295.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
246,3,5,200,3.500.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
244,3,4,180,3.500.000.000,Manado Kota,Sulawesi Utara,Rumah
243,4,4,220,2.500.000.000,Surakarta Kota,Jawa Tengah,Rumah
242,3,3,170,1.800.000.000,Padang Kota,Sumatra Barat,Rumah
242,4,4,350,2.200.000.000,Surabaya Kota,Jawa Timur,Rumah
242,3,3,170,1.800.000.000,Padang Kota,Sumatra Barat,Rumah
242,5,6,300,3.660.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
242,2,5,200,1.200.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
242,3,6,180,1.200.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
241,4,5,300,6.800.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
240,6,5,320,5.650.000.000,Tangerang Selatan Kota,Banten,Rumah
240,1,2,50,680.000.000,Padang Kota,Sumatra Barat,Rumah
240,3,3,200,800.000.000,Manado Kota,Sulawesi Utara,Rumah
240,1,3,140,1.500.000.000,Manado Kota,Sulawesi Utara,Rumah
240,2,6,240,1.400.000.000,Semarang Kota,Jawa Tengah,Rumah
240,3,3,110,1.800.000.000,Padang Kota,Sumatra Barat,Rumah
240,2,3,120,980.000.000,Palembang Kota,Sumatra Selatan,Rumah
240,6,5,400,4.800.000.000,Malang Kota,Jawa Timur,Rumah
240,4,4,200,4.999.999.000,Semarang Kota,Jawa Tengah,Rumah
240,3,4,250,4.800.000.000,Denpasar Kota,Bali,Rumah
240,3,4,400,1.300.000.000,Ogan Komering Ulu Timur Kab.,Sumatra Selatan,Rumah
240,4,4,190,3.200.000.000,Semarang Kota,Jawa Tengah,Rumah
240,3,4,150,360.000.000,Pekanbaru Kota,Riau,Rumah
240,2,5,220,1.600.000.000,Bandar Lampung Kota,Lampung,Rumah
240,4,5,350,5.600.000.000,Batam Kota,Kepulauan Riau,Rumah
240,2,2,135,650.000.000,Pontianak Kota,Kalimantan Barat,Rumah
239,2,3,223,1.300.000.000,Pontianak Kota,Kalimantan Barat,Rumah
239,4,4,187,5.600.000.000,Tangerang Selatan Kota,Banten,Rumah
238,2,3,88,1.800.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
238,2,3,200,620.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
238,2,2,70,600.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
237,5,5,450,8.750.000.000,Tangerang Kota,Banten,Rumah
237,4,5,230,5.000.000.000,Palembang Kota,Sumatra Selatan,Rumah
237,5,5,203,2.999.000.000,Bandung Kota,Jawa Barat,Rumah
236,3,4,250,7.500.000.000,Tangerang Kota,Banten,Rumah
234,6,6,340,7.450.000.000,Tangerang Selatan Kota,Banten,Rumah
234,5,5,263,6.000.000.000,Jakarta Barat,Jakarta D.K.I.,Rumah
234,5,5,240,350.000.000,Palembang Kota,Sumatra Selatan,Rumah
233,2,3,120,1.200.000.000,Padang Kota,Sumatra Barat,Rumah
231,3,4,200,600.000.000,Medan Kota,Sumatra Utara,Rumah
231,4,5,200,1.600.000.000,Padang Kota,Sumatra Barat,Rumah
231,3,2,100,950.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
230,3,4,135,1.805.000.000,Pontianak Kota,Kalimantan Barat,Rumah
230,2,3,100,650.000.000,Manado Kota,Sulawesi Utara,Rumah
230,3,4,160,4.600.000.000,Semarang Kota,Jawa Tengah,Rumah
230,2,4,160,800.000.000,Manado Kota,Sulawesi Utara,Rumah
230,3,3,110,600.000.000,Pekanbaru Kota,Riau,Rumah
230,1,2,48,490.000.000,Lombok Tengah Kab.,Nusa Tenggara Barat,Rumah
229,3,4,135,1.805.000.000,Pontianak Kota,Kalimantan Barat,Rumah
228,2,4,228,700.000.000,Pontianak Kota,Kalimantan Barat,Rumah
228,3,5,330,2.000.000.000,Manado Kota,Sulawesi Utara,Rumah
228,3,3,160,2.400.000.000,Batam Kota,Kepulauan Riau,Rumah
228,3,4,135,1.898.000.000,Pontianak Kota,Kalimantan Barat,Rumah
226,1,4,120,550.000.000,Manado Kota,Sulawesi Utara,Rumah
226,4,5,200,3.500.000.000,Cimahi Kota,Jawa Barat,Rumah
226,2,4,220,600.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
225,4,4,200,1.100.000.000,Palembang Kota,Sumatra Selatan,Rumah
225,1,3,120,650.000.000,Bukittinggi Kota,Sumatra Barat,Rumah
225,5,4,198,3.800.000.000,Pekanbaru Kota,Riau,Rumah
225,3,5,144,2.700.000.000,Jakarta Utara,Jakarta D.K.I.,Rumah
225,3,3,150,500.000.000,Pekanbaru Kota,Riau,Rumah
225,3,7,420,3.500.000.000,Batam Kota,Kepulauan Riau,Rumah
225,4,5,185,3.200.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
224,4,4,224,4.300.000.000,Makassar Kota,Sulawesi Selatan,Rumah
223,4,2,160,3.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
223,2,2,110,980.000.000,Pontianak Kota,Kalimantan Barat,Rumah
221,2,3,124,1.600.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
221,1,3,90,1.200.000.000,Berau Kab.,Kalimantan Timur,Rumah
221,2,3,150,850.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
220,2,2,200,3.500.000.000,Kab. Badung,Bali,Rumah
220,3,4,128,1.075.000.000,Pontianak Kota,Kalimantan Barat,Rumah
220,4,6,180,1.500.000.000,Palembang Kota,Sumatra Selatan,Rumah
220,4,5,0,3.900.000.000,Semarang Kota,Jawa Tengah,Rumah
220,1,1,90,1.600.000.000,Makassar Kota,Sulawesi Selatan,Rumah
220,2,4,185,1.400.000.000,Padang Kota,Sumatra Barat,Rumah
220,3,5,120,2.100.000.000,Tangerang Kota,Banten,Rumah
220,4,4,280,3.600.000.000,Bekasi Kota,Jawa Barat,Rumah
220,5,4,550,7.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
220,4,4,170,1.500.000.000,Pekanbaru Kota,Riau,Rumah
220,1,2,120,70.000.000,Tabalong Kab.,Kalimantan Selatan,Rumah
220,3,3,150,2.450.000.000,Bekasi Kota,Jawa Barat,Rumah
219,3,3,157,540.000.000,Padang Panjang Kota,Sumatra Barat,Rumah
219,2,5,0,2.000.000.000,Bandar Lampung Kota,Lampung,Rumah
218,3,3,200,775.000.000,Palembang Kota,Sumatra Selatan,Rumah
218,3,3,198,960.000.000,Musi Banyuasin Kab.,Sumatra Selatan,Rumah
218,4,5,330,4.750.000.000,Tangerang Selatan Kota,Banten,Rumah
218,1,3,128,480.000.000,Pekanbaru Kota,Riau,Rumah
217,3,3,100,1.600.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
216,2,4,114,2.200.000.000,Palembang Kota,Sumatra Selatan,Rumah
