LT,KM,KT,LB,Price,Kota/Kab,Provinsi,Type
1200,3,4,825,45.000.000.000,Makassar Kota,Sulawesi Selatan,Rumah
1200,5,6,308,4.000.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
1190,4,4,1190,24.000.000.000,Kab. Badung,Bali,Rumah
1100,4,4,200,12.000.000.000,Cilacap Kab.,Jawa Tengah,Rumah
1100,6,6,600,13.000.000.000,Batam Kota,Kepulauan Riau,Rumah
1090,6,6,800,165.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
1066,5,5,500,1.900.000.000,Pekanbaru Kota,Riau,Rumah
1040,6,6,476,8.500.000.000,Pontianak Kota,Kalimantan Barat,Rumah
1018,5,6,470,15.000.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
1000,5,5,200,4.300.000.000,Buleleng Kab.,Bali,Rumah
1000,3,3,600,33.838.829.000,Kab. Badung,Bali,Rumah
1000,5,5,850,17.000.000.000,Kab. Badung,Bali,Rumah
1000,6,5,500,6.000.000.000,Pekanbaru Kota,Riau,Rumah
1000,3,5,400,2.000.000.000,Pekanbaru Kota,Riau,Apartemen
1000,3,3,72,1.300.000.000,Lombok Timur Kab.,Nusa Tenggara Barat,Rumah
1000,4,4,400,5.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
1000,4,3,330,3.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
990,2,4,400,9.000.000.000,Ponorogo Kab.,Jawa Timur,Apartemen
984,5,4,475.5,17.000.000.000,Tabanan Kab.,Bali,Rumah
951,7,7,800,19.000.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
939,3,6,400,5.000.000.000,Bandar Lampung Kota,Lampung,Rumah
923,6,8,1000,20.000.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
909,5,10,250,17.000.000.000,Palembang Kota,Sumatra Selatan,Rumah
909,5,10,250,17.000.000.000,Palembang Kota,Sumatra Selatan,Rumah
900,5,8,500,4.000.000.000,Manado Kota,Sulawesi Utara,Rumah
900,7,5,900,42.000.000.000,Surabaya Kota,Jawa Timur,Rumah
900,2,3,900,3.400.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
894,4,5,250,3.750.000.000,Bukittinggi Kota,Sumatra Barat,Rumah
890,3,4,280,1.375.000.000,Pekanbaru Kota,Riau,Rumah
874,4,5,266,8.250.000.000,Tangerang Selatan Kota,Banten,Rumah
868,3,3,728,11.000.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
857,3,4,500,8.800.000.000,Batam Kota,Kepulauan Riau,Rumah
852,3,3,156,1.500.000.000,Pekanbaru Kota,Riau,Rumah
850,2,4,250,900.000.000,Pekanbaru Kota,Riau,Rumah
850,4,5,300,4.300.000.000,Pekanbaru Kota,Riau,Rumah
850,3,3,400,2.500.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
843,4,6,510,6.950.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
830,5,5,578,39.000.000.000,Kab. Badung,Bali,Rumah
827,10,10,1400,12.500.000.000,Balikpapan Kota,Kalimantan Timur,Rumah
816,4,4,294,4.500.000.000,Padang Kota,Sumatra Barat,Rumah
810,2,3,120,3.800.000.000,Batam Kota,Kepulauan Riau,Rumah
800,4,5,280,3.200.000.000,Manado Kota,Sulawesi Utara,Rumah
800,3,2,300,4.000.000.000,Gianyar Kab.,Bali,Rumah
800,4,4,1100,29.900.000.000,Jakarta Barat,Jakarta D.K.I.,Rumah
800,6,6,1200,2.750.000.000,Manado Kota,Sulawesi Utara,Rumah
800,4,4,255,2.950.000.000,Lombok Utara Kab.,Nusa Tenggara Barat,Rumah
798,4,4,400,13.000.000.000,Samarinda Kota,Kalimantan Timur,Rumah
782,6,7,252,2.500.000.000,Medan Kota,Sumatra Utara,Rumah
780,3,5,270,2.800.000.000,Bandar Lampung Kota,Lampung,Rumah
778,2,3,463,785.000.000,Sleman Kab.,Yogyakarta D.I.,Rumah
774,2,3,283,4.000.000.000,Pontianak Kota,Kalimantan Barat,Rumah
752,3,6,220,1.300.000.000,Pekanbaru Kota,Riau,Rumah
750,2,4,180,800.000.000,Minahasa Utara Kab.,Sulawesi Utara,Rumah
750,4,3,250,450.000.000,Manado Kota,Sulawesi Utara,Rumah
750,4,3,250,550.000.000,Manado Kota,Sulawesi Utara,Rumah
750,3,3,400,19.000.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
745,2,4,188,1.369.000.000,Pontianak Kota,Kalimantan Barat,Rumah
735,7,7,280,475.000.000,Ketapang Kab.,Kalimantan Barat,Rumah
725,4,4,725,9.500.000.000,Depok Kota,Jawa Barat,Rumah
722,8,8,512,10.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
720,2,3,150,1.200.000.000,Cilacap Kab.,Jawa Tengah,Rumah
715,2,3,127,1.200.000.000,Palembang Kota,Sumatra Selatan,Rumah
713,2,3,255,4.345.499.045,Batu Kota,Jawa Timur,Rumah
712,4,5,250,8.000.000.000,Depok Kota,Jawa Barat,Rumah
707,4,6,375,14.000.000.000,Musi Banyuasin Kab.,Sumatra Selatan,Rumah
700,2,4,180,1.000.000.000,Pariaman Kota,Sumatra Barat,Rumah
700,4,4,400,4.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
687,4,6,530,9.000.000.000,Semarang Kota,Jawa Tengah,Rumah
680,6,6,470,3.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
680,3,4,300,15.000.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
679,5,10,300,19.000.000.000,Malang Kota,Jawa Timur,Rumah
670,5,5,450,5.000.000.000,Manado Kota,Sulawesi Utara,Rumah
670,3,4,350,2.800.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
660,7,7,660,9.900.000.000,Bandung Kota,Jawa Barat,Rumah
655,4,4,380,23.000.000.000,Kab. Badung,Bali,Rumah
650,3,5,250,2.300.000.000,Palembang Kota,Sumatra Selatan,Rumah
650,4,3,560,9.500.000.000,Kab. Badung,Bali,Rumah
648,4,5,550,8.000.000.000,Surakarta Kota,Jawa Tengah,Rumah
647,4,7,500,10.500.000.000,Bandung Kab.,Jawa Barat,Rumah
647,2,3,300,2.000.000.000,Banjarmasin Kota,Kalimantan Selatan,Rumah
639,2,3,234,2.900.000.000,Manado Kota,Sulawesi Utara,Rumah
635,6,5,635,2.300.000.000,Aceh Besar Kab.,Aceh D.I.,Rumah
635,5,5,200,9.000.000.000,Palembang Kota,Sumatra Selatan,Rumah
635,3,5,0,2.600.000.000,Bandar Lampung Kota,Lampung,Rumah
630,3,4,250,5.500.000.000,Makassar Kota,Sulawesi Selatan,Rumah
627,3,3,312,25.000.000.000,Kab. Badung,Bali,Rumah
625,2,4,250,3.000.000.000,Karanganyar Kab.,Jawa Tengah,Rumah
625,4,4,608,24.000.000.000,Kab. Badung,Bali,Rumah
623,5,6,623,2.500.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
622,6,6,380,3.000.000.000,Pekanbaru Kota,Riau,Rumah
